"show_1","show_2","distance"
"Death Note","Noragami: Stray God","0.668013962888113"
"Noragami: Stray God","Attack on Titan","0.508255870841487"
"Attack on Titan","Noragami: Stray God","0.508255870841487"
"Noragami: Stray God","Soul Eater","0.695634815011978"
"Soul Eater","Noragami: Stray God","0.695634815011978"
"Noragami: Stray God","Elfen Lied","0.712421767264241"
"Elfen Lied","Noragami: Stray God","0.712421767264241"
"Noragami: Stray God","One Punch Man","0.516359091243291"
"One Punch Man","Noragami: Stray God","0.516359091243291"
"Noragami: Stray God","The Future Diary","0.557921753607103"
"The Future Diary","Noragami: Stray God","0.557921753607103"
"Noragami: Stray God","Fullmetal Alchemist","0.752893162632079"
"Fullmetal Alchemist","Noragami: Stray God","0.752893162632079"
"Noragami: Stray God","Gurren Lagann","0.721024343977237"
"Gurren Lagann","Noragami: Stray God","0.721024343977237"
"Noragami: Stray God","Angel Beats!","0.59072746503702"
"Angel Beats!","Noragami: Stray God","0.59072746503702"
"Noragami: Stray God","Code Geass: Lelouch of the Rebellion","0.671849865951743"
"Code Geass: Lelouch of the Rebellion","Noragami: Stray God","0.671849865951743"
"No Game, No Life","Code Geass: Lelouch of the Rebellion R2","0.641809637053395"
"Code Geass: Lelouch of the Rebellion R2","No Game, No Life","0.641809637053395"
"No Game, No Life","Death Note","0.644624746450304"
"Death Note","No Game, No Life","0.644624746450304"
"No Game, No Life","Attack on Titan","0.482869570398618"
"Attack on Titan","No Game, No Life","0.482869570398618"
"No Game, No Life","Soul Eater","0.698955186304129"
"Soul Eater","No Game, No Life","0.698955186304129"
"No Game, No Life","Elfen Lied","0.673175583708512"
"Elfen Lied","No Game, No Life","0.673175583708512"
"No Game, No Life","One Punch Man","0.477936962750716"
"One Punch Man","No Game, No Life","0.477936962750716"
"No Game, No Life","The Future Diary","0.518503456689711"
"The Future Diary","No Game, No Life","0.518503456689711"
"No Game, No Life","Fullmetal Alchemist","0.741669806750283"
